モジュールタイプ,ID,魔法耐性,物理耐性,極・適応力,極・HP凝縮,極・絶境守護,極・HP変動,極・HP吸収,極・ダメージ増強,極・応急処置,極・幸運会心,集中・攻撃速度,集中・会心,集中・幸運,集中・詠唱,マスタリー回復強化,特攻回復強化,筋力強化,知力強化,敏捷強化,特攻ダメージ強化,精鋭打撃
防御,Mod_001,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
防御,Mod_002,8,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
防御,Mod_003,0,8,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0
防御,Mod_004,9,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
防御,Mod_005,0,1,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
防御,Mod_006,0,4,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0
防御,Mod_007,3,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0
防御,Mod_008,0,0,0,0,0,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,0
防御,Mod_009,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
防御,Mod_010,0,0,0,0,0,0,0,0,0,0,6,5,0,6,0,0,0,0,0,0,0
防御,Mod_011,6,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
防御,Mod_012,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
防御,Mod_013,9,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
防御,Mod_014,5,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
防御,Mod_015,0,3,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
防御,Mod_016,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
防御,Mod_017,0,0,0,0,6,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0
防御,Mod_018,0,0,0,0,0,0,0,0,0,0,5,0,5,9,0,0,0,0,0,0,0
防御,Mod_019,3,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
防御,Mod_020,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0
防御,Mod_021,0,0,0,0,0,0,0,0,0,0,2,0,7,4,0,0,0,0,0,0,0
防御,Mod_022,0,0,0,0,0,0,0,0,0,0,10,2,4,0,0,0,0,0,0,0,0
防御,Mod_023,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
防御,Mod_024,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
防御,Mod_025,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0
